"station"	"variable"	"technique"	"periodicity"	"date"	"hour"	"value"	"valid"
"28793607"	8	2	2	2016-07-11	0	1	TRUE
"28793608"	8	2	2	2016-07-11	0	39	TRUE
"28793610"	47	2	2	2016-07-11	0	26	TRUE
"28793612"	8	2	2	2016-07-11	0	41	TRUE
"28793689"	98	2	2	2016-07-11	0	0	TRUE
"28793801"	38	2	2	2016-07-11	0	1	TRUE
"28793807"	8	2	2	2016-07-11	0	12	TRUE
"28793808"	8	2	2	2016-07-11	0	44	TRUE
"28793809"	47	2	2	2016-07-11	0	17	TRUE
"28793810"	47	2	2	2016-07-11	0	27	TRUE
"28793812"	8	2	2	2016-07-11	0	62	TRUE
"28793820"	59	2	2	2016-07-11	0	3.4	TRUE
"28793830"	59	2	2	2016-07-11	0	0.7	TRUE
"28793835"	59	2	2	2016-07-11	0	0.1	TRUE
"28793883"	98	2	2	2016-07-11	0	28.5	TRUE
"28793889"	98	2	2	2016-07-11	0	0	TRUE
"28793906"	48	2	2	2016-07-11	0	0.3	TRUE
"28793907"	8	2	2	2016-07-11	0	1	TRUE
"28793908"	8	2	2	2016-07-11	0	41	TRUE
"28793912"	8	2	2	2016-07-11	0	43	TRUE
"28793914"	6	2	2	2016-07-11	0	71	TRUE
"28793989"	98	2	2	2016-07-11	0	0	TRUE
"28794001"	38	2	2	2016-07-11	0	3	TRUE
"28794007"	8	2	2	2016-07-11	0	4	TRUE
"28794008"	8	2	2	2016-07-11	0	45	TRUE
"28794010"	47	2	2	2016-07-11	0	19	TRUE
"28794012"	8	2	2	2016-07-11	0	50	TRUE
"28794089"	98	2	2	2016-07-11	0	0	TRUE
"28794707"	8	2	2	2016-07-11	0	4	TRUE
"28794708"	8	2	2	2016-07-11	0	26	TRUE
"28794709"	47	2	2	2016-07-11	0	19	TRUE
"28794710"	47	2	2	2016-07-11	0	28	TRUE
"28794712"	8	2	2	2016-07-11	0	32	TRUE
"28794807"	8	2	2	2016-07-11	0	2	TRUE
"28794808"	8	2	2	2016-07-11	0	46	TRUE
"28794809"	47	2	2	2016-07-11	0	18	TRUE
"28794810"	47	2	2	2016-07-11	0	26	TRUE
"28794812"	8	2	2	2016-07-11	0	50	TRUE
"28794907"	8	2	2	2016-07-11	0	1	TRUE
"28794908"	8	2	2	2016-07-11	0	31	TRUE
"28794912"	8	2	2	2016-07-11	0	33	TRUE
"28794914"	6	2	2	2016-07-11	0	64	TRUE
"28795007"	8	2	2	2016-07-11	0	20	TRUE
"28795008"	8	2	2	2016-07-11	0	58	TRUE
"28795009"	47	2	2	2016-07-11	0	14	TRUE
"28795010"	47	2	2	2016-07-11	0	23	TRUE
"28795012"	8	2	2	2016-07-11	0	88	TRUE
"28795083"	98	2	2	2016-07-11	0	31.6	TRUE
"28795407"	8	2	2	2016-07-11	0	5	TRUE
"28795408"	8	2	2	2016-07-11	0	38	TRUE
"28795412"	8	2	2	2016-07-11	0	45	TRUE
"28795414"	6	2	2	2016-07-11	0	81	TRUE
"28795480"	98	2	2	2016-07-11	0	1	TRUE
"28795481"	98	2	2	2016-07-11	0	0.81	TRUE
"28795482"	98	2	2	2016-07-11	0	23	TRUE
"28795483"	98	2	2	2016-07-11	0	34.6	TRUE
"28795489"	98	2	2	2016-07-11	0	0	TRUE
"28795507"	8	2	2	2016-07-11	0	9	TRUE
"28795508"	8	2	2	2016-07-11	0	94	TRUE
"28795510"	47	2	2	2016-07-11	0	50	TRUE
"28795512"	8	2	2	2016-07-11	0	108	TRUE
"28795520"	59	2	2	2016-07-11	0	1.1	TRUE
"28795530"	59	2	2	2016-07-11	0	0.2	TRUE
"28795535"	59	2	2	2016-07-11	0	0.1	TRUE
"28795542"	2	2	2	2016-07-11	0	1.33	TRUE
"28795543"	2	2	2	2016-07-11	0	1.17	TRUE
"28795544"	2	2	2	2016-07-11	0	0.16	TRUE
"28795606"	48	2	2	2016-07-11	0	0.2	TRUE
"28795607"	8	2	2	2016-07-11	0	3	TRUE
"28795608"	8	2	2	2016-07-11	0	44	TRUE
"28795612"	8	2	2	2016-07-11	0	49	TRUE
"28795614"	6	2	2	2016-07-11	0	63	TRUE
"28795681"	98	2	2	2016-07-11	0	0.66	TRUE
"28795682"	98	2	2	2016-07-11	0	319	TRUE
"28795683"	98	2	2	2016-07-11	0	30.9	TRUE
"28795686"	98	2	2	2016-07-11	0	31	TRUE
"28795689"	98	2	2	2016-07-11	0	0	TRUE
"28795701"	38	2	2	2016-07-11	0	5	TRUE
"28795706"	48	2	2	2016-07-11	0	0.2	TRUE
"28795707"	8	2	2	2016-07-11	0	3	TRUE
"28795708"	8	2	2	2016-07-11	0	32	TRUE
"28795710"	47	2	2	2016-07-11	0	27	TRUE
"28795712"	8	2	2	2016-07-11	0	37	TRUE
"28795783"	98	2	2	2016-07-11	0	30.9	TRUE
"28795807"	8	2	2	2016-07-11	0	2	TRUE
"28795808"	8	2	2	2016-07-11	0	31	TRUE
"28795812"	8	2	2	2016-07-11	0	34	TRUE
"28795814"	6	2	2	2016-07-11	0	60	TRUE
"28795907"	8	2	2	2016-07-11	0	2	TRUE
"28795908"	8	2	2	2016-07-11	0	36	TRUE
"28795912"	8	2	2	2016-07-11	0	40	TRUE
"28795914"	6	2	2	2016-07-11	0	76	TRUE
"28795980"	98	2	2	2016-07-11	0	0	TRUE
"28795981"	98	2	2	2016-07-11	0	0.59	TRUE
"28795982"	98	2	2	2016-07-11	0	11	TRUE
"28795983"	98	2	2	2016-07-11	0	29.1	TRUE
"28795986"	98	2	2	2016-07-11	0	38	TRUE
"28795987"	98	2	2	2016-07-11	0	931	TRUE
"28795988"	98	2	2	2016-07-11	0	23	TRUE
"28795989"	98	2	2	2016-07-11	0	0	TRUE
"28796007"	8	2	2	2016-07-11	0	1	TRUE
"28796008"	8	2	2	2016-07-11	0	24	TRUE
"28796010"	47	2	2	2016-07-11	0	13	TRUE
"28796012"	8	2	2	2016-07-11	0	25	TRUE
"28796014"	6	2	2	2016-07-11	0	94	TRUE
"28796087"	98	2	2	2016-07-11	0	922	TRUE
"28796089"	98	2	2	2016-07-11	0	0	TRUE
"28799901"	38	2	2	2016-07-11	1	5	TRUE
"28799906"	48	2	2	2016-07-11	1	0.2	TRUE
"28799907"	8	2	2	2016-07-11	1	4	TRUE
"28799908"	8	2	2	2016-07-11	1	38	TRUE
"28799909"	47	2	2	2016-07-11	1	13	TRUE
"28799910"	47	2	2	2016-07-11	1	21	TRUE
"28799912"	8	2	2	2016-07-11	1	43	TRUE
"28799914"	6	2	2	2016-07-11	1	56	TRUE
"28799920"	59	2	2	2016-07-11	1	1.5	TRUE
"28799930"	59	2	2	2016-07-11	1	0.3	TRUE
"28799935"	59	2	2	2016-07-11	1	0.2	TRUE
"28799942"	2	2	2	2016-07-11	1	1.33	TRUE
"28799943"	2	2	2	2016-07-11	1	1.21	TRUE
"28799944"	2	2	2	2016-07-11	1	0.11	TRUE
"28799980"	98	2	2	2016-07-11	1	1	TRUE
"28799981"	98	2	2	2016-07-11	1	0.51	TRUE
"28799982"	98	2	2	2016-07-11	1	146	TRUE
"28799983"	98	2	2	2016-07-11	1	29	TRUE
"28799986"	98	2	2	2016-07-11	1	39	TRUE
"28799987"	98	2	2	2016-07-11	1	931	TRUE
"28799988"	98	2	2	2016-07-11	1	12	TRUE
"28799989"	98	2	2	2016-07-11	1	0	TRUE
"28790401"	38	2	2	2016-07-11	1	6	TRUE
"28790406"	48	2	2	2016-07-11	1	0.3	TRUE
"28790407"	8	2	2	2016-07-11	1	1	TRUE
"28790408"	8	2	2	2016-07-11	1	55	TRUE
"28790412"	8	2	2	2016-07-11	1	56	TRUE
"28790481"	98	2	2	2016-07-11	1	0.2	TRUE
"28790482"	98	2	2	2016-07-11	1	54	TRUE
"28790483"	98	2	2	2016-07-11	1	23.7	TRUE
"28790486"	98	2	2	2016-07-11	1	52	TRUE
"28790489"	98	2	2	2016-07-11	1	0	TRUE
"28790801"	38	2	2	2016-07-11	1	12	TRUE
"28790806"	48	2	2	2016-07-11	1	0.3	TRUE
"28790807"	8	2	2	2016-07-11	1	14	TRUE
"28790808"	8	2	2	2016-07-11	1	69	TRUE
"28790809"	47	2	2	2016-07-11	1	13	TRUE
"28790810"	47	2	2	2016-07-11	1	20	TRUE
"28790812"	8	2	2	2016-07-11	1	91	TRUE
"28790814"	6	2	2	2016-07-11	1	36	TRUE
"28790820"	59	2	2	2016-07-11	1	2	TRUE
"28790830"	59	2	2	2016-07-11	1	0.5	TRUE
"28790835"	59	2	2	2016-07-11	1	0.3	TRUE
"28790842"	2	2	2	2016-07-11	1	1.48	TRUE
"28790843"	2	2	2	2016-07-11	1	1.34	TRUE
"28790844"	2	2	2	2016-07-11	1	0.14	TRUE
"28791107"	8	2	2	2016-07-11	1	1	TRUE
"28791108"	8	2	2	2016-07-11	1	35	TRUE
"28791112"	8	2	2	2016-07-11	1	37	TRUE
"28791120"	59	2	2	2016-07-11	1	4.4	TRUE
"28791130"	59	2	2	2016-07-11	1	0.9	TRUE
"28791135"	59	2	2	2016-07-11	1	0.4	TRUE
"28791189"	98	2	2	2016-07-11	1	0	TRUE
"28791606"	48	2	2	2016-07-11	1	0.2	TRUE
"28791607"	8	2	2	2016-07-11	1	2	TRUE
"28791608"	8	2	2	2016-07-11	1	30	TRUE
"28791612"	8	2	2	2016-07-11	1	33	TRUE
"28791614"	6	2	2	2016-07-11	1	59	TRUE
"28791689"	98	2	2	2016-07-11	1	0	TRUE
"28791701"	38	2	2	2016-07-11	1	9	TRUE
"28791707"	8	2	2	2016-07-11	1	5	TRUE
"28791708"	8	2	2	2016-07-11	1	30	TRUE
"28791712"	8	2	2	2016-07-11	1	38	TRUE
"28791714"	6	2	2	2016-07-11	1	53	TRUE
"28791801"	38	2	2	2016-07-11	1	3	TRUE
"28791806"	48	2	2	2016-07-11	1	0.2	TRUE
"28791807"	8	2	2	2016-07-11	1	2	TRUE
"28791808"	8	2	2	2016-07-11	1	30	TRUE
"28791810"	47	2	2	2016-07-11	1	20	TRUE
"28791812"	8	2	2	2016-07-11	1	33	TRUE
"28791814"	6	2	2	2016-07-11	1	54	TRUE
"28791820"	59	2	2	2016-07-11	1	0.7	TRUE
"28791830"	59	2	2	2016-07-11	1	0.1	TRUE
"28791835"	59	2	2	2016-07-11	1	0.1	TRUE
"28791883"	98	2	2	2016-07-11	1	28	TRUE
